first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,player_id
Manolo,Gabbiadini,1,0,23,468,12,72.7,74.4,167,3,56,30.8,0,0,0,0.1,56,349
Guido,Carrillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,350
Angus,Gunn,0,0,47,1080,18,0,239.2,0,4,206,23.8,3,0,0,1.1,43,452
Jannik,Vestergaard,0,0,50,2027,31,76.6,576.6,104,0,396,75.9,4,0,2,0.2,46,463
Matt,Targett,1,3,36,1185,25,366.8,314.2,181,3,229,86.2,0,0,2,0.1,42,479
Michael,Obafemi,1,1,13,134,3,27.4,62.6,127,0,46,21.6,0,0,1,0,50,550
Yan,Valery,2,1,54,1709,30,124.7,329.4,157,0,251,60.7,3,1,3,4.1,41,556
Tyreke,Johnson,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,45,562
Kayne,Ramsay,0,0,1,90,3,0,11.2,0,0,9,1.1,0,0,0,0,40,565
Callum,Slattery,0,0,4,110,1,2.6,15.8,24,0,12,4.2,0,0,0,0,45,570
Sam,Gallagher,0,0,4,32,1,0.3,0,0,0,6,0,0,0,0,0.1,45,574
Alfie,Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,595
Hugo,Lloris,0,0,145,2970,33,0,858.2,0,10,691,86,12,0,0,6.2,54,351
Michel,Vorm,0,0,5,180,4,0,66.8,0,1,36,6.6,0,0,0,0.1,47,352
Toby,Alderweireld,0,0,107,2921,31,139.1,690.2,229,7,651,105.7,12,0,3,3.7,60,353
Danny,Rose,0,4,86,1792,16,416.6,343.6,216,5,352,97.6,8,0,5,1.1,58,354
Jan,Vertonghen,1,0,67,1911,23,116.7,445.4,165,7,390,72.7,6,1,3,4,59,355
Ben,Davies,0,0,66,1837,26,256.6,388.2,176,5,361,82.3,6,0,2,1.7,56,356
Kieran,Trippier,1,5,118,2275,23,827,601.6,121,16,573,155,10,0,2,15.2,60,357
